match_id,venue,match_date,match_type,season,pre_temp_avg,pre_humidity_avg,pre_pressure_avg,pre_wind_speed_avg,pre_cloud_cover_avg,pre_rainfall_total,pre_visibility_avg,start_temp,start_humidity,start_pressure,start_wind_speed,start_cloud_cover,start_rainfall,match_temp_avg,match_humidity_avg,match_rainfall_total,match_cloud_avg,match_wind_avg,pitch_condition,match_outcome,play_possible
11,The Oval (London),2017-06-21,ODI,summer,16.54,75.36,1000.53,53.17,31.75,2.19,12.84,19.19,68.5,1002.12,54.15,37.07,0.0,21.82,72.6,0.81,31.9,50.86,Humid/Swing,Completed,1
12,Karachi (National Stadium),2018-02-13,Test,winter,19.2,70.49,1001.72,9.7,29.23,17.97,12.46,19.45,68.04,998.45,8.03,19.36,0.0,24.27,60.22,0.0,45.48,8.66,Wet/Green,Delayed Start,1
13,Kolkata (Eden Gardens),2022-10-30,ODI,monsoon,26.2,69.94,1001.72,5.05,34.73,0.0,15.2,28.4,69.67,1000.12,0.0,53.72,0.0,31.7,63.97,0.0,38.14,3.71,Humid/Swing,Completed,1
14,Lords (London),2018-02-12,Test,winter,4.42,78.53,1009.78,49.21,67.78,4.6,12.59,6.85,81.04,1010.25,46.92,83.48,0.0,10.0,70.19,24.02,60.87,47.91,Humid/Swing,Rain Interrupted,0
15,Delhi (Feroz Shah Kotla),2023-07-25,ODI,monsoon,25.78,46.77,1031.82,7.81,64.59,0.0,17.36,27.96,44.96,1026.71,3.91,59.0,0.0,31.53,42.64,14.14,59.23,6.41,Flat/Batting,Rain Interrupted,0
16,Chennai (Chepauk),2016-01-15,ODI,winter,26.41,72.69,1023.07,3.52,27.65,0.0,15.03,30.13,66.71,1023.17,4.36,41.63,0.0,32.66,67.24,0.0,43.1,2.13,Humid/Swing,Completed,1
17,Chennai (Chepauk),2019-01-10,ODI,winter,25.69,74.82,1009.84,8.32,40.17,0.0,14.44,28.72,78.03,1009.8,11.86,46.32,0.0,31.42,65.56,0.0,40.2,8.85,Humid/Swing,Completed,1
18,Karachi (National Stadium),2017-12-19,Test,winter,13.94,66.61,1015.28,23.49,44.32,3.34,14.41,16.98,72.88,1017.65,21.24,12.36,0.0,19.59,60.46,0.0,38.05,20.82,Humid/Swing,Completed,1
19,Cape Town (Newlands),2020-02-25,T20,summer,19.15,60.97,1009.68,14.56,33.17,0.0,16.16,23.24,56.67,1010.06,18.74,26.33,0.0,24.47,50.81,0.0,37.72,14.64,Flat/Batting,Completed,1
20,Chennai (Chepauk),2019-03-31,Test,monsoon,21.39,77.33,1015.79,0.59,36.19,11.53,11.38,24.53,69.1,1023.3,4.95,52.75,0.0,27.32,67.11,0.0,42.12,1.83,Wet/Green,Delayed Start,1
21,SCG (Sydney),2018-04-15,T20,monsoon,17.08,67.25,1015.45,1.43,41.33,0.0,15.01,19.44,64.46,1014.36,0.0,35.65,0.0,21.9,57.29,0.0,31.48,1.77,Humid/Swing,Completed,1
22,Karachi (National Stadium),2024-12-05,ODI,winter,16.25,70.63,1035.71,7.83,38.19,0.0,15.12,18.11,76.37,1035.73,7.46,72.44,0.0,22.99,62.24,8.6,41.62,8.18,Humid/Swing,Completed,1
23,Karachi (National Stadium),2017-02-26,T20,winter,22.71,67.4,1008.46,14.71,31.6,0.0,15.0,24.75,62.98,1007.49,17.31,18.74,0.0,27.43,63.08,14.43,40.34,16.12,Humid/Swing,Completed,1
24,Chennai (Chepauk),2015-07-07,T20,monsoon,25.36,75.78,1013.78,4.72,40.04,0.0,14.2,27.6,66.65,1011.73,8.69,17.38,18.04,30.95,63.81,19.26,40.51,8.26,Humid/Swing,Rain Interrupted,0
25,Delhi (Feroz Shah Kotla),2023-09-02,ODI,monsoon,32.7,50.61,1013.68,7.83,48.34,0.0,16.89,36.34,40.11,1012.27,11.96,70.92,0.0,38.14,40.26,0.0,39.39,9.92,Flat/Batting,Completed,1
26,Chennai (Chepauk),2024-08-04,Test,monsoon,29.53,71.52,1023.62,16.92,40.67,0.0,15.18,31.19,63.0,1024.67,20.94,16.4,0.0,34.32,62.32,0.0,31.58,17.87,Humid/Swing,Completed,1
27,Chennai (Chepauk),2019-04-06,ODI,summer,28.52,73.56,1009.18,3.63,29.04,0.0,14.75,32.71,74.31,1009.32,0.95,17.05,0.0,34.24,64.59,14.28,40.71,4.06,Humid/Swing,Completed,1
28,MCG (Melbourne),2022-02-16,ODI,summer,29.46,57.59,1006.75,3.52,36.88,0.0,16.37,32.02,47.19,1009.81,0.0,45.86,0.0,35.47,49.64,0.81,43.28,3.52,Flat/Batting,Completed,1
29,Kolkata (Eden Gardens),2019-02-25,ODI,winter,17.38,71.8,1007.52,5.2,42.47,0.0,14.91,20.55,70.57,1010.2,6.67,21.83,0.0,23.43,64.58,0.0,35.58,5.96,Humid/Swing,Completed,1
30,Delhi (Feroz Shah Kotla),2022-07-08,ODI,monsoon,27.72,49.12,1018.41,57.13,69.64,11.88,12.88,28.92,46.95,1018.86,59.73,75.89,0.05,33.0,39.14,6.78,62.99,58.35,Flat/Batting,Completed,1
31,Cape Town (Newlands),2022-08-31,T20,winter,13.55,58.92,1008.94,2.2,59.06,0.0,16.61,17.31,56.09,1009.63,5.1,64.71,0.0,18.8,52.71,35.48,65.09,2.4,Flat/Batting,Rain Interrupted,0
32,Chennai (Chepauk),2021-10-31,T20,monsoon,29.31,75.83,1016.88,13.42,62.34,5.44,12.37,32.83,73.87,1015.17,11.06,89.11,0.0,34.53,62.68,3.9,63.64,12.41,Humid/Swing,Completed,1
33,Kolkata (Eden Gardens),2020-12-27,T20,winter,17.14,67.91,1012.39,11.09,50.62,0.02,15.58,19.17,73.35,1010.17,4.26,47.83,0.0,22.87,63.2,21.03,31.41,9.24,Humid/Swing,Rain Interrupted,0
34,Delhi (Feroz Shah Kotla),2016-10-31,ODI,monsoon,29.25,51.85,1016.66,8.52,45.99,0.0,17.09,30.5,49.89,1017.39,11.17,41.79,0.0,34.43,42.0,0.0,53.38,10.03,Flat/Batting,Completed,1
35,The Oval (London),2018-01-10,T20,winter,6.36,79.1,1033.53,13.78,60.72,5.55,12.89,8.49,80.37,1032.11,15.98,48.58,0.0,11.5,69.83,10.6,53.86,14.48,Humid/Swing,Delayed Start,1
36,Cape Town (Newlands),2021-03-31,Test,monsoon,18.0,61.61,1010.81,2.56,36.93,10.9,12.71,18.78,51.65,1006.4,3.02,28.37,0.0,23.05,50.8,2.91,32.19,1.86,Flat/Batting,Completed,1
37,Bridgetown (Kensington Oval),2018-08-21,Test,monsoon,24.96,81.86,1006.99,40.62,54.94,12.78,10.45,27.53,80.51,1005.74,37.28,74.91,0.0,30.5,76.62,26.54,62.17,38.35,Wet/Green,Rain Interrupted,0
38,Delhi (Feroz Shah Kotla),2024-03-20,Test,monsoon,32.56,49.72,1016.84,16.62,48.63,8.17,14.03,34.59,40.22,1013.06,17.42,78.08,0.0,37.56,42.09,6.83,48.93,19.39,Flat/Batting,Delayed Start,1
39,Lords (London),2019-07-02,ODI,monsoon,13.82,82.16,1015.59,40.9,39.38,0.0,13.65,16.59,77.4,1017.45,40.64,69.06,0.0,19.41,69.67,0.0,48.87,40.32,Humid/Swing,Completed,1
40,Chennai (Chepauk),2017-05-14,T20,summer,29.79,72.27,1021.39,44.07,29.64,4.66,13.34,31.63,74.35,1020.2,44.56,30.61,0.0,34.86,63.79,0.0,32.64,45.42,Humid/Swing,Completed,1
41,Cape Town (Newlands),2018-07-12,Test,winter,9.62,61.52,1000.15,23.15,55.1,22.84,9.55,11.63,54.64,995.98,26.96,65.13,0.0,14.68,48.25,0.0,60.21,23.89,Flat/Batting,Rain Interrupted,0
42,Bridgetown (Kensington Oval),2020-08-06,ODI,monsoon,25.43,79.91,1010.79,7.0,68.48,6.18,11.45,28.29,75.65,1010.76,3.78,54.02,14.43,30.53,74.63,16.3,58.1,6.27,Humid/Swing,Rain Interrupted,0
43,Bridgetown (Kensington Oval),2020-02-23,Test,winter,22.37,80.2,998.11,1.58,33.47,0.0,14.7,25.18,78.17,998.4,0.0,50.84,0.0,27.11,74.12,0.0,43.52,2.4,Humid/Swing,Completed,1
44,Bengaluru (Chinnaswamy),2016-07-25,Test,monsoon,22.2,64.1,1002.06,16.09,38.42,11.07,13.14,26.02,58.73,1003.37,14.75,61.02,0.0,28.18,55.45,0.0,43.76,15.01,Flat/Batting,Completed,1
45,Cape Town (Newlands),2021-04-18,T20,monsoon,14.76,55.03,1010.88,17.57,42.06,3.57,15.68,18.17,53.52,1009.61,17.5,57.16,0.0,20.56,52.67,0.0,43.52,16.96,Flat/Batting,Completed,1
46,Bengaluru (Chinnaswamy),2023-05-18,T20,summer,20.68,64.41,1015.91,24.91,63.34,1.42,14.25,23.16,65.68,1018.21,26.89,68.54,0.0,26.12,57.04,26.5,66.74,25.12,Flat/Batting,Rain Interrupted,0
47,The Oval (London),2021-07-18,ODI,monsoon,11.96,76.43,1014.07,3.04,47.98,0.9,13.3,13.43,79.19,1017.68,4.54,57.02,0.0,17.2,69.88,7.0,38.74,3.93,Humid/Swing,Completed,1
48,Lords (London),2017-06-17,Test,summer,21.89,74.27,1019.15,10.69,53.68,9.74,12.08,22.88,68.13,1017.72,8.53,40.96,0.0,27.41,67.06,2.54,39.14,10.03,Humid/Swing,Completed,1
49,SCG (Sydney),2020-07-14,Test,winter,9.78,65.8,1012.79,12.48,75.16,2.63,14.61,14.74,53.48,1011.39,9.7,63.95,7.95,15.66,55.91,31.81,55.38,12.16,Humid/Swing,Rain Interrupted,0
50,Mumbai (Wankhede),2024-08-28,Test,monsoon,25.45,83.48,1010.46,3.68,55.12,1.16,13.55,28.09,77.02,1008.34,0.02,28.05,4.82,31.58,70.33,11.57,63.26,2.56,Humid/Swing,Rain Interrupted,0
51,Kolkata (Eden Gardens),2022-01-14,Test,winter,13.13,68.91,1010.99,0.41,45.38,0.0,15.1,13.11,62.59,1006.92,0.05,39.16,0.0,18.35,62.84,0.0,27.33,2.57,Humid/Swing,Completed,1
52,Bridgetown (Kensington Oval),2019-09-26,T20,monsoon,26.11,81.25,1021.28,1.92,62.22,15.54,11.51,26.6,85.08,1020.15,0.64,21.21,0.0,31.27,73.08,71.53,67.44,0.51,Wet/Green,Abandoned,0
53,Chennai (Chepauk),2019-04-26,ODI,summer,36.85,72.74,1013.72,12.71,24.6,0.0,14.45,40.46,67.33,1014.37,13.31,71.4,0.0,41.6,64.29,0.0,38.39,14.59,Humid/Swing,Completed,1
54,Karachi (National Stadium),2020-04-01,T20,summer,30.21,67.95,1029.0,3.51,45.1,0.0,14.62,33.05,70.4,1031.72,0.0,34.55,0.0,35.43,61.07,0.0,37.02,1.25,Humid/Swing,Completed,1
55,Bengaluru (Chinnaswamy),2021-03-16,Test,monsoon,19.39,63.41,1019.47,7.08,29.26,0.0,15.6,20.29,58.86,1018.63,3.89,35.59,0.0,24.31,53.88,9.82,42.8,7.42,Flat/Batting,Completed,1
56,Bridgetown (Kensington Oval),2023-01-31,Test,winter,20.94,84.33,998.16,8.24,36.31,0.0,14.0,25.74,85.35,995.02,10.05,49.14,0.83,27.76,75.67,0.83,38.73,9.95,Humid/Swing,Completed,1
57,Bridgetown (Kensington Oval),2024-12-03,T20,winter,26.14,84.35,1007.71,3.14,41.69,0.0,13.25,29.21,82.98,1015.37,0.87,12.41,0.0,31.94,75.7,0.44,25.54,3.91,Humid/Swing,Completed,1
58,Bengaluru (Chinnaswamy),2023-08-15,T20,monsoon,16.7,62.15,1004.42,10.5,44.2,0.0,16.43,20.43,60.29,1002.9,7.05,30.52,0.0,22.41,54.32,0.0,36.78,12.02,Flat/Batting,Completed,1
59,Lords (London),2016-04-01,ODI,summer,21.68,74.65,1028.23,11.33,48.46,0.0,14.74,25.77,68.95,1021.92,6.27,44.95,0.0,28.05,66.02,7.89,44.75,12.25,Humid/Swing,Completed,1
60,The Oval (London),2016-10-09,ODI,monsoon,15.04,77.29,1000.18,20.69,54.39,20.74,9.78,17.15,71.31,1003.37,19.73,70.77,0.0,19.83,70.29,13.4,59.7,19.4,Wet/Green,Rain Interrupted,0
61,Mumbai (Wankhede),2023-02-05,T20,winter,21.05,78.18,1006.85,12.05,40.39,1.04,13.65,25.76,67.86,1007.91,14.43,22.47,0.0,27.21,72.4,0.0,35.34,13.47,Humid/Swing,Completed,1
62,Bengaluru (Chinnaswamy),2020-08-12,Test,monsoon,21.97,64.26,1012.94,3.2,35.6,0.0,16.06,25.29,51.97,1014.45,1.71,59.35,0.0,26.57,55.84,2.67,36.01,2.42,Flat/Batting,Completed,1
63,SCG (Sydney),2016-03-11,T20,monsoon,19.94,64.53,990.83,31.17,43.46,17.26,13.0,23.45,63.39,989.98,35.61,11.69,0.0,25.89,55.49,11.01,33.14,31.03,Flat/Batting,Rain Interrupted,0
64,Bengaluru (Chinnaswamy),2024-06-09,T20,summer,27.72,61.75,1022.98,1.35,50.3,30.37,11.33,30.51,54.96,1021.92,8.44,77.03,0.0,33.52,57.05,15.87,53.92,1.37,Wet/Green,Abandoned,0
65,SCG (Sydney),2021-10-30,Test,monsoon,18.97,68.63,1028.93,3.65,44.22,0.0,14.84,23.6,56.17,1026.88,5.5,78.64,0.0,24.4,54.89,23.51,40.31,3.3,Humid/Swing,Rain Interrupted,0
66,Kolkata (Eden Gardens),2019-03-12,Test,monsoon,30.31,68.35,1013.39,15.48,43.99,5.34,12.98,34.0,73.11,1012.11,17.78,22.79,0.0,35.82,63.34,4.28,33.59,13.54,Humid/Swing,Rain Interrupted,0
67,SCG (Sydney),2023-09-25,T20,monsoon,12.01,68.18,1027.41,8.3,40.68,0.0,15.31,15.42,62.19,1022.63,2.81,28.21,0.0,17.78,55.16,21.55,31.92,8.05,Humid/Swing,Rain Interrupted,0
68,Mumbai (Wankhede),2021-09-19,ODI,monsoon,27.17,82.87,1014.5,5.98,67.92,8.37,10.43,27.73,74.35,1014.37,6.47,61.94,0.0,31.79,70.58,7.14,56.0,5.17,Humid/Swing,Completed,1
69,MCG (Melbourne),2015-03-21,Test,monsoon,14.49,61.66,1006.74,17.95,26.88,2.16,14.83,20.33,51.47,1007.33,17.96,52.7,0.0,20.19,51.64,0.0,40.53,15.01,Flat/Batting,Completed,1
70,Lords (London),2024-11-08,ODI,monsoon,10.46,74.52,1010.13,10.73,51.78,2.24,12.98,15.96,57.23,1015.63,12.59,80.75,0.0,15.91,68.14,42.14,58.17,8.91,Humid/Swing,Abandoned,0
71,Delhi (Feroz Shah Kotla),2015-08-26,Test,monsoon,25.99,49.3,1031.69,12.71,67.04,5.04,15.67,31.41,43.72,1033.44,14.43,8.95,0.0,31.82,38.75,19.21,52.35,11.52,Flat/Batting,Rain Interrupted,0
72,Karachi (National Stadium),2015-11-19,Test,monsoon,26.05,66.65,996.64,12.32,60.99,0.0,15.61,29.16,73.07,1003.07,11.1,34.87,0.0,31.55,60.21,14.04,45.78,8.79,Humid/Swing,Rain Interrupted,0
73,Cape Town (Newlands),2020-06-13,Test,winter,7.8,58.62,1022.95,3.76,63.25,0.98,15.45,14.33,58.97,1020.63,0.0,70.4,0.0,13.92,49.17,21.84,72.68,3.33,Flat/Batting,Rain Interrupted,0
74,SCG (Sydney),2023-08-03,Test,winter,14.42,62.89,1024.28,10.56,58.55,27.37,12.19,17.9,59.62,1018.79,2.25,74.31,7.42,19.93,57.05,23.7,49.1,8.51,Wet/Green,Abandoned,0
75,Kolkata (Eden Gardens),2022-05-26,ODI,summer,32.19,74.48,1025.71,10.69,34.39,0.15,14.16,32.79,59.09,1026.6,7.42,50.5,0.0,36.6,66.12,1.46,41.37,10.26,Humid/Swing,Completed,1
76,SCG (Sydney),2016-11-07,ODI,monsoon,17.59,60.61,1012.89,10.13,42.21,0.0,15.59,21.3,58.85,1012.1,9.88,51.0,0.0,22.77,58.97,0.0,28.98,11.61,Flat/Batting,Completed,1
77,SCG (Sydney),2024-10-13,T20,monsoon,19.16,63.03,1011.3,5.44,30.25,1.54,14.36,23.57,56.25,1011.16,3.56,31.39,0.0,25.62,57.07,0.0,48.19,3.77,Flat/Batting,Completed,1
78,The Oval (London),2017-05-17,T20,summer,19.8,78.17,1014.59,16.84,39.14,0.0,13.68,23.22,66.75,1021.0,17.71,66.63,0.0,25.26,71.04,31.26,50.48,17.02,Humid/Swing,Rain Interrupted,0
79,Cape Town (Newlands),2022-09-26,Test,monsoon,18.68,60.08,1013.51,23.8,44.56,0.0,15.32,23.34,52.67,1010.54,23.21,32.84,0.0,24.56,51.44,14.28,45.91,25.48,Flat/Batting,Completed,1
80,Cape Town (Newlands),2018-06-30,ODI,winter,9.1,61.06,1009.39,3.16,72.5,8.19,12.82,10.73,53.08,1001.94,5.6,76.69,0.0,13.93,50.36,9.08,68.35,5.5,Flat/Batting,Rain Interrupted,0
81,Bridgetown (Kensington Oval),2022-04-15,ODI,summer,25.72,83.36,1019.49,2.28,39.89,0.0,13.61,29.47,79.85,1016.68,5.72,21.82,0.0,31.7,73.61,5.35,33.74,2.36,Humid/Swing,Completed,1
82,MCG (Melbourne),2020-10-20,ODI,monsoon,11.03,59.48,1007.23,1.91,43.93,0.0,15.39,13.34,59.14,1002.74,0.4,12.32,0.0,15.49,49.82,1.28,34.77,1.81,Flat/Batting,Completed,1
83,Chennai (Chepauk),2017-10-12,Test,monsoon,29.78,73.23,1020.72,3.85,60.9,12.14,10.45,33.69,71.02,1023.03,0.0,88.44,0.0,34.73,66.18,15.88,62.12,1.34,Wet/Green,Rain Interrupted,0
84,Chennai (Chepauk),2018-10-16,Test,monsoon,23.8,75.75,1024.25,11.44,61.28,10.94,12.44,26.83,62.17,1022.11,14.28,62.58,23.7,29.14,67.99,39.08,52.73,13.42,Humid/Swing,Abandoned,0
85,Karachi (National Stadium),2021-03-18,Test,monsoon,26.64,71.49,1033.16,8.54,31.75,0.37,14.39,30.71,63.04,1031.98,10.57,15.46,0.0,32.12,61.5,0.25,39.84,6.53,Humid/Swing,Completed,1
86,Karachi (National Stadium),2017-06-21,Test,summer,31.7,66.87,1006.38,3.24,42.2,0.0,15.36,36.32,65.86,1012.22,9.53,28.21,0.0,37.91,61.54,5.0,36.23,4.46,Humid/Swing,Completed,1
87,Chennai (Chepauk),2022-12-09,T20,winter,19.75,74.18,1001.81,5.67,56.69,2.44,13.21,21.63,62.57,1003.46,11.38,36.57,0.0,25.02,66.19,16.04,68.8,5.97,Humid/Swing,Rain Interrupted,0
88,Mumbai (Wankhede),2017-07-26,Test,monsoon,26.57,79.46,1026.82,8.86,62.88,3.94,11.7,29.96,83.09,1029.43,10.76,39.51,5.14,31.63,70.8,36.26,52.63,9.49,Humid/Swing,Abandoned,0
89,Mumbai (Wankhede),2024-08-22,ODI,monsoon,24.28,83.64,1010.59,2.36,60.35,6.75,11.8,28.51,78.6,1017.47,1.57,38.1,0.59,29.61,72.05,16.64,62.32,3.41,Humid/Swing,Abandoned,0
90,Chennai (Chepauk),2020-10-06,Test,monsoon,25.29,72.35,1021.31,17.37,50.35,7.42,12.02,30.35,72.46,1016.97,15.85,70.03,0.0,30.7,67.11,13.87,51.43,16.72,Humid/Swing,Rain Interrupted,0
91,Bengaluru (Chinnaswamy),2022-07-03,ODI,monsoon,16.1,62.23,1023.35,4.27,31.82,0.0,16.59,19.99,57.78,1021.33,4.81,16.84,2.88,21.43,55.24,20.45,41.84,4.34,Flat/Batting,Rain Interrupted,0
92,Delhi (Feroz Shah Kotla),2021-01-17,Test,winter,11.29,50.94,1017.95,3.32,42.17,4.42,15.18,13.34,49.96,1023.28,0.06,29.75,0.0,16.37,43.32,15.09,34.04,3.12,Flat/Batting,Completed,1
93,Cape Town (Newlands),2024-11-23,T20,monsoon,19.85,59.55,1035.34,8.13,32.15,0.0,16.01,22.61,44.57,1032.64,6.98,64.44,0.0,24.76,50.66,2.01,44.6,5.92,Flat/Batting,Completed,1
94,Karachi (National Stadium),2020-04-20,Test,summer,39.06,69.43,1003.06,14.64,38.39,1.67,14.64,43.67,66.69,1009.68,16.17,30.8,0.0,44.17,59.09,1.14,35.07,15.35,Humid/Swing,Completed,1
95,MCG (Melbourne),2024-01-21,ODI,summer,25.89,63.74,1018.63,5.43,50.12,0.0,16.0,30.57,58.13,1017.88,4.95,54.31,0.0,32.08,49.63,0.97,35.35,4.53,Flat/Batting,Completed,1
96,Delhi (Feroz Shah Kotla),2016-01-22,Test,winter,13.1,47.38,1027.42,2.02,46.45,0.91,16.34,17.41,43.22,1029.22,0.0,28.75,0.0,18.84,42.02,1.75,43.11,2.76,Flat/Batting,Completed,1
97,Bridgetown (Kensington Oval),2019-11-01,ODI,monsoon,21.35,80.84,1019.69,11.27,60.58,10.12,10.98,26.22,77.52,1018.69,10.99,71.42,2.92,27.25,74.38,6.68,52.85,11.9,Humid/Swing,Completed,1
98,The Oval (London),2019-08-11,ODI,monsoon,7.95,76.58,1026.13,2.86,34.3,0.0,13.95,12.53,66.3,1029.57,1.06,32.91,1.87,13.3,67.89,16.4,40.28,2.41,Humid/Swing,Completed,1
99,Cape Town (Newlands),2015-08-10,T20,winter,7.06,63.08,1025.51,18.94,52.95,14.35,10.7,10.9,57.55,1023.76,17.01,48.21,1.09,12.36,50.68,11.79,54.81,19.11,Flat/Batting,Rain Interrupted,0
100,Bridgetown (Kensington Oval),2022-03-31,Test,monsoon,25.49,82.21,1012.23,0.4,27.35,0.0,13.26,27.91,78.44,1012.1,0.04,24.53,0.0,30.84,72.51,8.29,27.85,1.91,Humid/Swing,Completed,1
101,Mumbai (Wankhede),2019-07-08,T20,monsoon,22.36,76.85,1014.15,5.43,64.2,17.08,9.63,26.81,73.72,1013.07,4.9,57.48,0.0,28.92,70.26,14.98,69.28,2.67,Humid/Swing,Abandoned,0
102,Lords (London),2023-12-24,Test,winter,0.76,79.04,1007.8,5.23,58.96,10.82,10.56,3.96,67.79,1003.54,0.98,57.22,0.0,7.02,68.4,24.1,52.35,3.45,Wet/Green,Rain Interrupted,0
103,Delhi (Feroz Shah Kotla),2017-02-23,Test,winter,3.86,51.73,1021.3,1.32,45.3,3.18,15.12,8.02,44.45,1018.35,6.0,17.86,0.0,9.0,39.54,0.0,51.37,2.11,Flat/Batting,Completed,1
104,SCG (Sydney),2020-01-12,Test,summer,20.37,64.82,1026.21,1.89,65.53,0.0,15.84,24.22,58.9,1023.32,3.04,30.1,0.0,26.33,56.4,2.13,45.11,2.0,Flat/Batting,Completed,1
105,The Oval (London),2017-01-21,ODI,winter,-0.34,74.83,1015.96,33.9,57.58,14.2,10.03,0.69,72.56,1017.06,38.6,48.11,0.0,4.97,67.92,37.56,51.79,33.72,Wet/Green,Abandoned,0
106,MCG (Melbourne),2017-10-20,Test,monsoon,18.25,62.03,1006.58,9.55,38.01,0.0,15.2,20.1,54.85,1002.6,8.11,11.01,0.99,24.33,51.8,18.59,40.94,9.32,Flat/Batting,Completed,1
107,MCG (Melbourne),2024-01-23,T20,summer,30.71,57.2,1027.48,9.11,45.78,0.0,16.36,32.67,51.91,1020.15,14.57,20.56,0.0,35.82,49.48,15.75,39.48,9.67,Flat/Batting,Rain Interrupted,0
108,Chennai (Chepauk),2015-07-27,T20,monsoon,27.31,76.83,1011.68,24.27,31.77,0.0,14.03,30.6,63.84,1007.54,23.83,46.06,0.0,32.36,66.59,0.0,51.81,26.03,Humid/Swing,Completed,1
109,SCG (Sydney),2024-05-17,Test,monsoon,14.4,63.79,1012.88,1.63,49.68,0.0,16.34,17.24,58.59,1015.86,0.0,37.4,0.0,20.55,55.31,5.67,43.19,1.5,Flat/Batting,Completed,1
110,Chennai (Chepauk),2023-06-14,Test,summer,29.02,71.33,1017.76,14.91,45.87,0.0,14.67,32.47,68.0,1017.86,16.8,55.19,0.0,35.14,64.31,5.34,49.77,17.13,Humid/Swing,Completed,1
111,Kolkata (Eden Gardens),2019-07-23,ODI,monsoon,25.98,72.26,997.8,49.4,45.04,1.46,14.33,28.66,77.99,1003.37,52.72,51.17,0.46,31.3,64.49,32.41,61.51,50.96,Humid/Swing,Rain Interrupted,0
112,MCG (Melbourne),2017-05-25,ODI,monsoon,10.54,60.63,1018.96,5.66,58.58,0.0,15.88,13.07,47.19,1016.91,5.27,34.05,0.0,15.07,52.54,0.0,43.58,5.0,Flat/Batting,Completed,1
113,Mumbai (Wankhede),2016-11-05,ODI,monsoon,28.98,80.59,1012.79,24.74,46.37,0.0,14.26,32.74,68.49,1016.97,27.1,61.94,0.0,35.45,68.98,0.0,41.45,27.6,Humid/Swing,Completed,1
114,Mumbai (Wankhede),2019-05-19,ODI,summer,26.56,78.02,1018.08,2.34,38.32,1.72,13.83,29.6,72.39,1016.78,7.58,40.88,0.0,32.47,71.95,0.0,41.75,3.91,Humid/Swing,Completed,1
115,MCG (Melbourne),2018-03-14,ODI,monsoon,9.15,59.88,1007.4,7.5,48.89,0.0,16.13,12.53,54.61,1004.67,7.73,4.16,2.1,14.68,51.57,6.82,33.66,7.07,Flat/Batting,Completed,1
